,Tiktoker name,Tiktok name,Subscribers count,Views avg.,Likes avg,Comments avg.,Shares avg
0,ekin.721,MOMO’s,221700.0,26000000.0,2800000.0,29400.0,116400.0
1,dojacat,Doja Cat,22200000.0,25400000.0,5000000.0,36700.0,46800.0
2,kiet.ac.quy,Kiệt Ắk Wỷ,2100000.0,20700000.0,3500000.0,38800.0,33900.0
3,charlidamelio,charli d’amelio,135400000.0,18700000.0,2600000.0,54700.0,35200.0
4,luvadepedreiro,Iran Ferreira (Lai),11400000.0,24800000.0,2600000.0,32700.000000000004,26800.0
5,badbunny,Bad Bunny,16100000.000000002,17600000.0,4000000.0,28000.0,26200.0
6,khaby.lame,Khabane lame,135200000.0,17700000.0,2300000.0,18000.0,11200.0
7,leomahalo,Leo Mahalo,6800000.0,19000000.0,2200000.0,11800.0,14400.0
8,swagboygorringe,Daniel Gorringe,5600000.0,9900000.0,1800000.0,25300.0,35900.0
9,jennmelon,Jenn Melon,2000000.0,11000000.0,2300000.0,15100.0,24500.0
10,jounggustav,Joung Gustav,1900000.0,16399999.999999998,2200000.0,9900.0,13400.0
11,txt.bighitent,TOMORROW X TOGETHER,16200000.0,7700000.0,1800000.0,33200.0,12200.0
12,pongamoslo_a_prueba,Pongámoslo a Prueba,30400000.0,16000000.0,2500000.0,6300.0,7300.0
13,bdylanhollis,B. Dylan Hollis,7600000.0,8600000.0,1600000.0,11500.0,20000.0
14,lyczak,👑Łyczuu👑,1500000.0,11800000.0,1400000.0,16100.000000000002,8600.0
15,juandamc,JuanDa.,17100000.0,7500000.0,1700000.0,9100.0,19500.0
16,lifeinanimati0n,A <3,745200.0,6200000.0,1100000.0,8800.0,40200.0
17,zlusha,Zlusha,2000000.0,7200000.0,1100000.0,12900.0,29500.0
18,amauryguichon,Amaury Guichon,5400000.0,11000000.0,1600000.0,5800.0,13300.0
19,eupereiraoficial,Eu Pereira,4600000.0,12200000.0,1200000.0,5700.0,11500.0
20,druskitv,DRUSKI,3200000.0,6400000.0,1200000.0,7700.0,25900.0
21,adrianbliss,Adrian Bliss,5200000.0,7700000.0,1500000.0,5400.0,16000.0
22,kimberly.loaiza,Kimberly Loaiza,61000000.0,9900000.0,1300000.0,14100.0,4500.0
23,deborahyowa,Deborah yowa,10300000.0,12600000.0,688700.0,17000.0,9100.0
24,nekoglai,Николай,9400000.0,8500000.0,982300.0,22500.0,4400.0
25,domelipa,Dominik,50700000.0,7900000.0,1200000.0,17300.0,6200.0
26,diego.cr_,Diego Rodríguez,238100.0,9100000.0,845000.0,9100.0,19500.0
27,addisonre,Addison Rae,87300000.0,9300000.0,1200000.0,13400.0,5900.0
28,mastertingus,mastertingus,1500000.0,4200000.0,859200.0,25100.0,33800.0
29,santandave,Santan,1100000.0,6200000.0,1000000.0,21300.0,12000.0
30,machinegunkelly,Colson,3400000.0,10800000.0,822600.0,13700.0,9000.0
31,bellapoarch,Bella Poarch,88500000.0,11100000.0,1000000.0,14300.0,1600.0
32,daddyyankee,daddyyankee,10400000.0,6000000.0,696300.0,18100.0,20600.0
33,official_nct,NCT Official,7300000.0,3200000.0,1200000.0,23100.0,17600.0
34,zeth,Zeth,10800000.0,6600000.0,1300000.0,4100.0,12800.0
35,larrayeeee,LARRAY,25600000.0,5400000.0,1200000.0,17600.0,4100.0
36,mrbeast,MrBeast,34700000.0,6800000.0,1100000.0,16100.000000000002,1500.0
37,jypestraykids,Stray Kids,10800000.0,2900000.0,1100000.0,27600.0,12000.0
38,iamferv,Fernanda,26100000.0,7800000.0,1100000.0,10300.0,3800.0
39,nicocaponecomedy,nicocapone.comedy,20300000.0,11800000.0,691800.0,3900.0,10200.0
40,honeybobabear,HoneyBobaBear,7800000.0,10100000.0,1400000.0,5000.0,2400.0
41,masondenverr,mason,2000000.0,4400000.0,1200000.0,7300.0,11300.0
42,nicoletv,Kayla Nicole,10200000.0,6100000.0,999300.0,4900.0,10000.0
43,aquajock_h2bro,JæBæ,509700.0,5400000.0,966400.0,5400.0,10600.0
44,terryreloaded,Terry Reloaded,3900000.0,4900000.0,1000000.0,6300.0,10200.0
45,soysuco,soysuco,9600000.0,6300000.0,999500.0,11100.0,2000.0
46,itzyofficial,ITZY,7300000.0,4700000.0,1200000.0,10400.0,3600.0
47,oldtimehawkey,Old Time Hawkey,5100000.0,4800000.0,831600.0,11000.0,7000.0
48,missionaryjack,Jack Harlow,3300000.0,8300000.000000001,837000.0,4900.0,5500.0
49,conormaynard,Conor Maynard,6200000.0,5800000.0,794300.0,8900.0,6600.0
50,conormaynard,Conor Maynard,6200000.0,5800000.0,794300.0,8900.0,6600.0
51,itssassagurl,Sassa Gurl,5300000.0,6000000.0,969600.0,6200.0,6000.0
52,terryreloaded,Terry Reloaded,4000000.0,4400000.0,955300.0,6200.0,9400.0
53,jimmydarts,Jimmy Darts,8100000.0,5300000.0,893400.0,10300.0,2900.0
54,alshad95,Alshad Ahmad,1600000.0,7300000.0,761900.0,6200.0,5000.0
55,bayashi.tiktok,バヤシ🥑Bayashi,24100000.0,7700000.0,958000.0,5800.0,2500.0
56,rosalia,La Rosalia,18300000.0,9800000.0,978500.0,3800.0,2300.0
57,daniel.labelle,Daniel LaBelle,25500000.0,4600000.0,754900.0,5500.0,11800.0
58,masonmount,Mason Mount,2800000.0,4800000.0,806900.0,9900.0,5100.0
59,theandrewschulz,Andrew Schulz,3000000.0,4000000.0,602200.0,2200.0,21600.0
60,activesufi,activesufi,364600.0,13800000.0,1100000.0,2200.0,1500.0
61,hayleygeorgiamorris,Hayley Morris,2900000.0,4600000.0,586900.0,1900.0,18400.0
62,lilnasx,lil nas x,27700000.0,5700000.0,804600.0,9000.0,3000.0
63,willsmith,Will Smith,67400000.0,6900000.0,658500.0,10000.0,2000.0
64,clarissaperezlara,Clari,129500.0,3900000.0,370000.0,2700.0,34200.0
65,spriteder_spd,Prite Netijen Netirattanapaiboon,2700000.0,8000000.0,924800.0,3700.0,3500.0
66,paytonking,Payton King,5100000.0,2800000.0,685400.0,11800.0,15800.0
67,lexibrookerivera,Lexi Rivera,21100000.0,7000000.0,937400.0,6200.0,1900.0
68,snoopdogg,Snoop Dogg,19700000.0,7400000.0,647200.0,6600.0,4300.0
69,tuckerbudzyn,tuckerbudzyn,10100000.0,4000000.0,638600.0,3300.0,16700.0
70,jaykindafunny8,Jaykindafunny,23300000.0,9600000.0,685700.0,2400.0,5200.0
71,solsito.pe,Solsito.pe,80200.0,3500000.0,503100.0,10600.0,17800.0
72,jake2r,"Jake2r, Ph.D.",2100000.0,2800000.0,739600.0,5200.0,17100.0
73,thejoeyswoll,Joey Swoll,2400000.0,5300000.0,804500.0,8400.0,2500.0
74,kallmekris,Kris HC,43300000.0,5400000.0,988000.0,5500.0,3100.0
75,jdpantoja,JD Pantoja,26800000.0,4800000.0,942200.0,8700.0,1300.0
76,datvilla94,🔥Đạt Villa🔥,5200000.0,5700000.0,659100.0,8100.0,3100.0
77,haileybieber,Hailey Bieber,7700000.0,5700000.0,810500.0,6300.0,2700.0
78,big.johns,Big Johns,140300.0,3100000.0,476500.0,18400.0,8700.0
79,cleanpuppy,Chloe Cherry,1700000.0,4800000.0,980200.0,5700.0,2900.0
80,arabstay,𝕊𝕥𝕣𝕒𝕪 𝕜𝕚𝕕𝕤,219000.0,2600000.0,770200.0,11700.0,8200.0
81,aitch12,Aitch,1800000.0,5300000.0,421100.0,7600.0,9800.0
82,doctorgraves,Dr.Graves,2700000.0,5000000.0,879700.0,2800.0,5900.0
83,fredziownik_art,Franek Bielak,11800000.0,6300000.0,781900.0,6500.0,1200.0
84,vibin.wit.tay,Tay,3300000.0,3300000.0,689400.0,4000.0,12600.0
85,cedriklorenzen,Cedrik Lorenzen,2100000.0,4000000.0,457000.0,7900.0,12400.0
86,vanessalopesr,Vanessa Lopes,21300000.0,5900000.0,637100.0,6400.0,2900.0
87,rustam_mayer_djavid,RUSTAM MAYER,4300000.0,7800000.0,390800.0,1600.0,9700.0
88,soojinicoreana,Chingu Amiga,17300000.0,6500000.0,1000000.0,3900.0,1400.0
89,jinisprotips,💡 Jini 💡,713700.0,3700000.0,467600.0,6900.0,12900.0
90,esen_alva,Esen,3100000.0,3300000.0,536300.0,3300.0,15500.0
91,drew.nori,Drew Nori,4700000.0,8100000.0,387900.0,9700.0,733.0
92,wuesilva,Wue Silva,11800000.0,4500000.0,584000.0,10600.0,1800.0
93,thallyssonsb,Thallysson Borges,8500000.0,3600000.0,629000.0,6000.0,8200.0
94,natemyburgh,Nate,306400.0,3400000.0,724900.0,3600.0,9000.0
95,soso_aroundtheworld,Sosonebieridze,109800.0,3000000.0,420000.0,10800.0,13200.0
96,newboyjosh,Newboyjosh,340500.0,4000000.0,445000.0,6400.0,10400.0
97,initiaraandini,tiara andini,4099999.9999999995,7400000.0,651600.0,4400.0,1800.0
98,iamkevingates,Kevin Gates,2100000.0,3500000.0,413600.0,9400.0,11300.0
99,max7424453118,Max Taylor,2800000.0,3500000.0,572600.0,5200.0,9500.0
100,danya_milokhin,danya_milokhin,16500000.0,6300000.0,733200.0,4600.0,1700.0
